Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
1	Node00	0	dev=net(0)	InInterests	1	0
1	Node00	0	dev=net(0)	OutInterests	1	0.103516
1	Node00	0	dev=net(0)	DropInterests	0	0
1	Node00	0	dev=net(0)	InNacks	0	0
1	Node00	0	dev=net(0)	OutNacks	0	0
1	Node00	0	dev=net(0)	DropNacks	0	0
1	Node00	0	dev=net(0)	InData	0	0
1	Node00	0	dev=net(0)	OutData	0	0
1	Node00	0	dev=net(0)	DropData	0	0
1	Node00	1	dev=net(1)	InInterests	1	0
1	Node00	1	dev=net(1)	OutInterests	1	0.103516
1	Node00	1	dev=net(1)	DropInterests	0	0
1	Node00	1	dev=net(1)	InNacks	0	0
1	Node00	1	dev=net(1)	OutNacks	0	0
1	Node00	1	dev=net(1)	DropNacks	0	0
1	Node00	1	dev=net(1)	InData	0	0
1	Node00	1	dev=net(1)	OutData	0	0
1	Node00	1	dev=net(1)	DropData	0	0
1	Node00	2	dev=local(2)	InInterests	1	0
1	Node00	2	dev=local(2)	OutInterests	1	0
1	Node00	2	dev=local(2)	DropInterests	0	0
1	Node00	2	dev=local(2)	InNacks	0	0
1	Node00	2	dev=local(2)	OutNacks	0	0
1	Node00	2	dev=local(2)	DropNacks	0	0
1	Node00	2	dev=local(2)	InData	0	0
1	Node00	2	dev=local(2)	OutData	0	0
1	Node00	2	dev=local(2)	DropData	0	0
1	Node01	0	dev=net(0)	InInterests	1	0
1	Node01	0	dev=net(0)	OutInterests	1	0.103516
1	Node01	0	dev=net(0)	DropInterests	0	0
1	Node01	0	dev=net(0)	InNacks	0	0
1	Node01	0	dev=net(0)	OutNacks	0	0
1	Node01	0	dev=net(0)	DropNacks	0	0
1	Node01	0	dev=net(0)	InData	0	0
1	Node01	0	dev=net(0)	OutData	0	0
1	Node01	0	dev=net(0)	DropData	0	0
1	Node01	1	dev=net(1)	InInterests	1	0
1	Node01	1	dev=net(1)	OutInterests	1	0.103516
1	Node01	1	dev=net(1)	DropInterests	0	0
1	Node01	1	dev=net(1)	InNacks	0	0
1	Node01	1	dev=net(1)	OutNacks	0	0
1	Node01	1	dev=net(1)	DropNacks	0	0
1	Node01	1	dev=net(1)	InData	0	0
1	Node01	1	dev=net(1)	OutData	0	0
1	Node01	1	dev=net(1)	DropData	0	0
1	Node01	2	dev=net(2)	InInterests	1	0
1	Node01	2	dev=net(2)	OutInterests	1	0.103516
1	Node01	2	dev=net(2)	DropInterests	0	0
1	Node01	2	dev=net(2)	InNacks	0	0
1	Node01	2	dev=net(2)	OutNacks	0	0
1	Node01	2	dev=net(2)	DropNacks	0	0
1	Node01	2	dev=net(2)	InData	0	0
1	Node01	2	dev=net(2)	OutData	0	0
1	Node01	2	dev=net(2)	DropData	0	0
1	Node01	3	dev=local(3)	InInterests	1	0
1	Node01	3	dev=local(3)	OutInterests	1	0
1	Node01	3	dev=local(3)	DropInterests	0	0
1	Node01	3	dev=local(3)	InNacks	0	0
1	Node01	3	dev=local(3)	OutNacks	0	0
1	Node01	3	dev=local(3)	DropNacks	0	0
1	Node01	3	dev=local(3)	InData	0	0
1	Node01	3	dev=local(3)	OutData	0	0
1	Node01	3	dev=local(3)	DropData	0	0
1	Node02	0	dev=net(0)	InInterests	1	0
1	Node02	0	dev=net(0)	OutInterests	1	0.103516
1	Node02	0	dev=net(0)	DropInterests	0	0
1	Node02	0	dev=net(0)	InNacks	0	0
1	Node02	0	dev=net(0)	OutNacks	0	0
1	Node02	0	dev=net(0)	DropNacks	0	0
1	Node02	0	dev=net(0)	InData	0	0
1	Node02	0	dev=net(0)	OutData	0	0
1	Node02	0	dev=net(0)	DropData	0	0
1	Node02	1	dev=net(1)	InInterests	1	0
1	Node02	1	dev=net(1)	OutInterests	1	0.103516
1	Node02	1	dev=net(1)	DropInterests	0	0
1	Node02	1	dev=net(1)	InNacks	0	0
1	Node02	1	dev=net(1)	OutNacks	0	0
1	Node02	1	dev=net(1)	DropNacks	0	0
1	Node02	1	dev=net(1)	InData	0	0
1	Node02	1	dev=net(1)	OutData	0	0
1	Node02	1	dev=net(1)	DropData	0	0
1	Node02	2	dev=net(2)	InInterests	1	0
1	Node02	2	dev=net(2)	OutInterests	1	0.103516
1	Node02	2	dev=net(2)	DropInterests	0	0
1	Node02	2	dev=net(2)	InNacks	0	0
1	Node02	2	dev=net(2)	OutNacks	0	0
1	Node02	2	dev=net(2)	DropNacks	0	0
1	Node02	2	dev=net(2)	InData	0	0
1	Node02	2	dev=net(2)	OutData	0	0
1	Node02	2	dev=net(2)	DropData	0	0
1	Node02	3	dev=local(3)	InInterests	1	0
1	Node02	3	dev=local(3)	OutInterests	1	0
